sep=,
"id","iname","price_pur","price1","price2","price3","price4","category","company","firstbalance","firstbalance_val","minbalance","img","active","ispack","scale","clr","siz","mdl","unit_name","unit_count","firstbalance_price","unit_id","min_price","sortin_cate","lastUpdate","ItemDiscription","expirtion_days","expirtion_days_alert","cate_id","isServiceItem","cost_id","id_inMainServer"
"1611","فرشه بوتوجاز عريضه","10","20","20","20","20","","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1612","قطاعه دونت","15","25","25","25","25","","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1613","فلتر مياه ","25","40","40","40","40","","","3","75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1614","شنط خزين","15","45","45","45","45","","","5","75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1615","دوراق عصاره برتقال","10","30","30","30","30","","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1616","سكريه كرستال 2","20","40","40","40","40","","","3","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1617","بونبونيره شوكلت","30","50","50","50","50","","","5","150","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1618","رف تلاجه","13","25","25","25","30","","","2","26","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1619","علبه بقوليات","15","30","30","30","30","","","8","120","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1620","علبه تلاجه ","23","35","35","35","35","","","2","46","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1621","مقص s07","20","45","45","45","40","","","6","60","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1622","منظم حقاىب","22","50","50","50","50","","","2","44","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1623","بوله سلطه لمسه","20","45","45","45","45","","","1","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1624","درج معالق  جدبد لمسه","25","45","45","45","45","","","6","150","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1625","تاج افراح","5","20","20","20","20","","","5","25","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1626","اقلام خشب استدلر","25","50","50","50","50","","","1","25","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1627","مقص كبير مكتب ديلى","38","20","20","20","55","","","9","342","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1628","استاند يوني بول قلم","6","12","12","12","12","","","43","258","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1629","مقلمه مكتب","8.5","25","25","25","25","","","3","25.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1630","دبوس مكتب جديد","1","5","5","5","5","","","56","56","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1631","استيكه فبركاسل كبيره","10","8","8","8","16","","","177","1770","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1632","نوته فسفوري","3","8","8","8","8","","","9","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1633","مقص اسود","5","15","15","15","20","","","13","65","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1634","جلاد شفاف 2","1.8","4","4","4","4","","","40","72","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1635","مقص مشنشر ","11","15","15","15","20","","","24","264","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1636","نجمه هدايا بالواحده","2","3","3","3","3","","","23","46","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1637","بكره لف هدايا","5","10","10","10","10","","","6","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1638","كشكول نص سنتي","4","14","14","14","14","","","7","28","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1639","ورق مقوي","4","15","15","15","15","","","6","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1640","فايل 2لون","3","7","7","7","7","","","24","72","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1641","بازل خشب ","35","75","75","75","75","","","5","175","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1642","بازل خشب ص ","30","65","65","65","65","","","1","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1643","كرت العاب مطبخ حله","20","50","50","50","50","","","1","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1644","كرت العاب مطبخ مع عروسه كبير كروره ميه","95","60","60","60","145","","","6","570","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1645","كرت مسدس مشكل كور","20","70","70","70","70","","","3","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1646","كرت سندل اطفال","20","65","65","65","65","","","2","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1647","كرت 3مسدس +طلقات ","30","70","70","70","70","","","1","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1648","كرت مسدس +سكينه ","25","60","60","60","60","","","1","25","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1649","كرت العاب بنات مشكل ","20","60","60","60","60","","","4","80","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1650","كرت مطبخ +معلقه","20","50","50","50","50","","","1","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1651","شنطه مكعبات ","35","85","85","85","85","","","1","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1652","بازل بارز ","7.5","15","15","15","15","","","7","52.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1653","بازل عادي ","5","10","10","10","10","","","7","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1654","كارت عربيه","30","60","60","60","60","","","1","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1655","فانوس ميداليه ","3","8","8","8","10","","","18","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1656","طاسه تيفال وك","110","145","145","145","145","","","2","220","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1657","عربيه سباق ","105","170","170","170","170","","","2","210","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1658","عروسه بانيو","85","140","140","140","140","","","2","170","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1659","مسدس كور ","45","70","70","70","70","","","2","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1660","مسدس وماسك اسبيدر مان ","65","90","90","90","90","","","2","130","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1661","جردل مكعبات وسط ","88","100","100","100","185","","","12","1056","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1662","حردل مكعبات وسط ","40","70","70","70","70","","","5","200","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1663","حصاله كبير بقفل ","15","25","25","25","25","","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1664","عروسه فروزن دكتوره ","55","60","60","60","85","","","9","495","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1665","عروسه باربي لوكس ","35","65","65","65","65","","","2","70","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1666","بندقيه كبير على كارت ","65","100","100","100","130","","","4","260","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1667","بندقيه على كارت وسط ","55","85","85","85","105","","","14","770","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1668","علبه بنات وتاج ","45","80","80","80","80","","","4","180","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1669","عربيه رندي كروزلر ","35","80","80","80","80","","","2","70","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1670","كارت عربيات مشكل ","40","65","65","65","70","","","18","720","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1671","مسدس علبه بنظاره ","50","90","90","90","90","","","2","100","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1672","طقم كرسي في مطبغ ","27","60","60","60","60","","","2","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1673","كونكت فور ","65","50","50","50","125","","","9","585","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1674","عروسه  فرزون تغير فستاان بلاستك","35","65","65","65","65","","","8","280","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1675","عربيه نقل","20","40","40","40","40","","","2","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1676","عصايه نور ","6","25","25","25","25","","","6","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1677","طياره ارضيه","25","45","45","45","45","","","2","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1678","تكت اطفال","2.5","5","5","5","5","","","100","250","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1679","قلم FORMA ","0.75","1","1","1","4","","","72","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1680","لوح كانسون","35","15","15","15","65","","","50","16100","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1681","ولاعات LM","2","5","5","5","5","","","39","78","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1682","صنيه غويطه صغير","28","40","40","40","50","","","3","84","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1683","درج تلاجه عريض","12","25","25","25","25","","","12","144","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1684","تربو الوطنيه 3دور","150","150","150","150","180","","","8","1200","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1685","تربو الوطنيه 4دور","150","180","180","180","190","","","1","150","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1686","طقم دورك +3كوب","30","65","65","65","65","","","3","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1687","نشابة كريب","10","30","30","30","30","","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1688","صفايه SIMA","15","30","30","30","30","","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1689","قمع بسكوت","1.5","10","10","10","10","","","10","15","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1690","كيس بصامة كحك","20","35","35","35","35","","","2","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1691","جهاز دونتس","35","55","55","55","55","","","2","70","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1692","2في كيس بصامه كحك","10","25","25","25","25","","","2","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1693","منقاش كحك بالوجده","3","10","10","10","10","","","12","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1694","سلسله خاتم وحلق","6","30","30","30","30","","","4","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1695","علبه كلينس خشب","18","50","50","50","50","","","3","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1696","مفرش سفره ","12","25","25","25","25","","","3","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1697","صبانه اكليرك","8","25","25","25","25","","","21","168","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1698","مقص بيد اسود","10","30","30","30","30","","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1699","دبل  فيس 2متر","18","30","30","30","40","","","13","234","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1700","بلانشه بلاستك","20","45","45","45","45","","","4","80","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1701","قطاعه بيض","15","30","30","30","30","","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1702","مشبك بلاستك","15","25","25","25","25","","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1703","عقد بناتي","6","20","20","20","20","","","5","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1704","شنطه توكه استك","5","20","20","20","20","","","10","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1705","اينسيال ","7","20","20","20","20","","","3","21","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1706","حلق بنات","1","5","5","5","5","","","24","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1707","حلق دائره بالواحده","2","10","10","10","10","","","12","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1708"," توكه كلبس جديد","6","12","12","12","12","","","20","120","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1709","ولاعه سخان ","1.25","5","5","5","5","","","55","68.75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1710","موب الوان","15","25","25","25","25","","","21","315","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1711","مطاره ماء","10","25","25","25","25","","","50","500","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1712","بوك  يوني كورن","18","30","30","30","35","","","22","396","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1713","بالون استك ","1","5","5","5","5","","","85","85","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1714","واصله حنفية سيليكون","15","30","30","30","30","","","9","135","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1715","كيس جرش","20","35","35","35","35","","","2","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1716","ديناصور ","35","60","60","60","60","","","1","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1717","طبله 2 عصا رمضان كريم","20","30","30","30","50","","","3","45","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1718","طقم صبغه +3فرشه","10","30","30","30","30","","","10","100","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1719","دبوس حجاب كارت 6قطع","5","15","15","15","15","","","4","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1720","توك يوني كورن بالواحده","5","7","7","7","7","","","34","170","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1721","توكه بنات  بالواحده","5","10","10","10","10","","","32","160","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1722","دبوس ملون الوحد 5جنيه","2.5","5","5","5","5","","","12","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1723","كي بوردZERO","35","75","75","75","75","","","4","140","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1724","ماوس باد صغير ","10","25","25","25","25","","","13","130","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1725","ماوس OPTICAL صغير","14","40","40","40","40","","","6","84","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1726","ماوسWIRELESS LONGSTAR","48","85","85","85","85","","","0","0","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1727","نوته صغيره بفواصل ","15","30","30","30","30","","","4","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1728","بلي ملون ","10","25","25","25","25","","","2","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1729","قلم جاف صيني اسود","1.5","10","10","10","10","","","24","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1730","اقلام جيل كوجيلز ","2.75","8","8","8","8","","","13","35.75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1731","منقله 360 درجه ","2.75","15","15","15","15","","","6","16.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1732","استيكر احجار ","8.55","30","30","30","30","","","2","17.1","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1733","كتب  تلوين وسط  ","4","20","20","20","12","","","34","136","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1734","pencil case :::","25","50","50","50","50","","","2","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1735","مسند جديد","10","15","15","15","35","","","4","20","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1736","ID","5","7","7","7","10","","","20","20","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1737","كارت  استيك نوت","3","8","8","8","8","","","15","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1738","تيكت علي كارت","6","30","30","30","30","","","3","18","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1739","فيس شيلد جديد","12.5","30","30","30","30","","","22","275","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1740","فانوس خشب صغير جديد","7.5","15","15","15","15","","","10","75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1741","صواني خشب رمضان","45","65","65","65","65","","","7","315","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1742","عياشه خيامي","17.5","35","35","35","35","","","5","87.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1743","شماعه طرح فستان","15","30","30","30","30","","","4","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1744","تابلوه خشب رمضان","15","30","30","30","30","","","7","105","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1745"," علبه سريه نور اصفر 80 لمبه ","90","50","50","50","135","","","20","1800","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1746","علبه كروشيه ","10","25","25","25","25","","","6","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1747","منظم تلاجه بيد ","10","25","25","25","25","","","4","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1748","طبله بدون عصا ","17.5","35","35","35","35","","","7","122.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1749","طبله صغيره ","6","15","15","15","15","","","2","12","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1750","طبله يد","17.5","30","30","30","30","","","4","70","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1751","مخده صغيره  مش شغال ","10","20","20","20","20","","","4","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1752","بوله اكليرك  ورده","15","25","25","25","25","","","2","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1753","صفايه معالق الوان ","12.5","25","25","25","25","","","4","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1754","صفايه بلاستك ساره ","10","25","25","25","25","","","4","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1755","صفايه اورنج ","10","25","25","25","25","","","5","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1756","طبق تسالي باغطاء ","10","25","25","25","25","","","5","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1757","صفايه بلاست ","10","20","20","20","20","","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1758","طبق فريز ","10","20","20","20","25","","","5","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1759","صاج كحك","10","25","25","25","25","","","6","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1760","مطاره صغير ","10","20","20","20","20","","","6","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1761","صلصال +1 لعبه","14","12","12","12","20","","","49","686","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1762","طباشير الوان ","4","15","15","15","15","","","8","32","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1763","صلصال 8 لون","3","10","10","10","10","","","9","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1764","بصامه كحك استنلس","5","15","15","15","15","","","6","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1765","ولاعه بوتوجاز ","12","30","30","30","30","","","18","216","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1766","شماعه استنلس ","9","30","30","30","30","","","3","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1767","شنطه خزين صغير ","10","25","25","25","25","","","5","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1768","شنطه خزين كبير","20","60","60","60","60","","","12","240","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1769","شنطه خزين وسط","15","45","45","45","45","","","12","180","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1770","غلق اكياس ","10","30","30","30","30","","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1771","غلق حراري ","15","45","45","45","45","","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1772","غطاء للملابس مكواه ","5","15","15","15","15","","","4","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1773","كيس للبطاطين فكيوم ","30","60","60","60","60","","","3","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1774","حامل سخن سيلكون","5","15","15","15","15","","","3","15","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1775","كيس بطانيه فاكيوم","30","60","60","60","60","","","3","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1776","خرز الوان صغير","5","15","15","15","15","","","7","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1777","مسدس صوت جديد","5","20","20","20","20","","","6","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1778","شمع صاروخ صغير بالوحده","4","9","9","9","15","","","46","184","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1779","ستاره عيد ميلاد","18","30","30","30","40","","","96","1440","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1780","مسن ","30","45","45","45","45","","","1","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1781","فرع مناديل الوان ","10","25","25","25","25","","","1","10","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
